province,city,area,phase_or_block,sub_block,category,plot_type,rate_pkr,rate_unit,source_type,source_document,source_page,effective_date,notes
Sindh,Karachi,DHA,Phase 1,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 1,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 2,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 2,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 3,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 3,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 4,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 4,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 5,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 5,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 6,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 6,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 7,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,SRO groups Phase I-VII same rate
Sindh,Karachi,DHA,Phase 7,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Commercial open Phase I-VII excl Zamzama
Sindh,Karachi,DHA,Phase 7 Extension,,Residential,Regular,5000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Including commissioner society
Sindh,Karachi,DHA,Phase 7 Extension,,Commercial,Regular,14000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,DHA,Phase 8,,Residential,Regular,7300,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Phase VIII
Sindh,Karachi,DHA,Phase 8,,Commercial,Regular,18000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,DHA,Phase 5,Zamzama,Residential,Regular,55000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,4,2024-11-01,Naval Housing Society Zamzama
Sindh,Karachi,DHA,Phase 5,Zamzama,Commercial,Regular,70000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,4,2024-11-01,Zamzama commercial open
Sindh,Karachi,DHA,Phase 9,,Residential,Regular,700,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,DHA City excl sector 1 and 3
Sindh,Karachi,DHA,Phase 9,Sector 1,Residential,Regular,1400,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,DHA City Sector 1 and 3
Sindh,Karachi,DHA,Phase 9,Sector 3,Residential,Regular,1400,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,DHA City Sector 1 and 3
Sindh,Karachi,Clifton,Block 1,,Residential,Regular,5000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Clifton Block I
Sindh,Karachi,Clifton,Block 1,,Commercial,Regular,20000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
Sindh,Karachi,Clifton,,,Residential,Regular,8200,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,Clifton Quarters excl Block I
Sindh,Karachi,Clifton,,,Commercial,Regular,20000,per_sq_ft,FBR,FBR_Karachi_SRO1724_I_2024.pdf,2,2024-11-01,
